model,split,accuracy,precision,recall,f1,roc_auc
decision_tree,val,0.8432,0.4885,0.9697,0.6497,0.9358
decision_tree,test,0.8052,0.4305,0.9203,0.5866,0.9206
logreg_l1,val,0.8682,0.5345,0.9394,0.6813,0.9443
logreg_l1,test,0.8357,0.4753,0.9058,0.6234,0.9286
logreg_l2,val,0.8682,0.5345,0.9394,0.6813,0.9445
logreg_l2,test,0.839,0.4808,0.9058,0.6281,0.9286
random_forest,val,0.8636,0.5254,0.9394,0.6739,0.944
random_forest,test,0.8498,0.5,0.8623,0.633,0.9283
svm_linear,val,0.8705,0.5385,0.9545,0.6885,0.9459
svm_linear,test,0.8335,0.4717,0.9058,0.6203,0.9295
svm_rbf,val,0.8545,0.5078,0.9848,0.6701,0.9382
svm_rbf,test,0.8107,0.4396,0.9493,0.6009,0.9139
